x-axis,1,2
second,Volt,Volt
-25.00000E-03,-18.30519801E+00,-787.13883E-03
-24.97500E-03,-18.30833871E+00,-787.26445E-03
-24.95000E-03,-18.31622188E+00,-786.85616E-03
-24.92500E-03,-18.32052464E+00,-788.67777E-03
-24.90000E-03,-18.33145429E+00,-786.91898E-03
-24.87500E-03,-18.33660504E+00,-786.82476E-03
-24.85000E-03,-18.34605856E+00,-787.95541E-03
-24.82500E-03,-18.35664273E+00,-788.80340E-03
-24.80000E-03,-18.36298695E+00,-786.91898E-03
-24.77500E-03,-18.37291158E+00,-789.83983E-03
-24.75000E-03,-18.38088897E+00,-787.92400E-03
-24.72500E-03,-18.38704474E+00,-788.70918E-03
-24.70000E-03,-18.39078218E+00,-788.64636E-03
-24.67500E-03,-18.39602716E+00,-786.60490E-03
-24.65000E-03,-18.39885379E+00,-787.73556E-03
-24.62500E-03,-18.40036133E+00,-786.19661E-03
-24.60000E-03,-18.40212012E+00,-786.88757E-03
-24.57500E-03,-18.40425579E+00,-787.82978E-03
-24.55000E-03,-18.40667414E+00,-789.21169E-03
-24.52500E-03,-18.41119675E+00,-784.87752E-03
-24.50000E-03,-18.41261007E+00,-784.78329E-03
-24.47500E-03,-18.41198193E+00,-788.08104E-03
-24.45000E-03,-18.41242162E+00,-788.33229E-03
-24.42500E-03,-18.41540529E+00,-787.39008E-03
-24.40000E-03,-18.41578218E+00,-785.28581E-03
-24.37500E-03,-18.41826333E+00,-786.35365E-03
-24.35000E-03,-18.41615906E+00,-786.88757E-03
-24.32500E-03,-18.41725832E+00,-786.88757E-03
-24.30000E-03,-18.41279851E+00,-785.66270E-03
-24.27500E-03,-18.41012891E+00,-788.20667E-03
-24.25000E-03,-18.41103972E+00,-787.45290E-03
-24.22500E-03,-18.40576334E+00,-787.89259E-03
-24.20000E-03,-18.40343921E+00,-787.64134E-03
-24.17500E-03,-18.40017287E+00,-786.69913E-03
-24.15000E-03,-18.39687514E+00,-787.13883E-03
-24.12500E-03,-18.39156735E+00,-787.45290E-03
-24.10000E-03,-18.38647941E+00,-787.73556E-03
-24.07500E-03,-18.38183117E+00,-787.92400E-03
-24.05000E-03,-18.37627214E+00,-787.13883E-03
-24.02500E-03,-18.36838896E+00,-786.95038E-03
-24.00000E-03,-18.36125956E+00,-786.03958E-03
-23.97500E-03,-18.35362765E+00,-786.35365E-03
-23.95000E-03,-18.34480228E+00,-786.35365E-03
-23.92500E-03,-18.33327589E+00,-785.66270E-03
-23.90000E-03,-18.32407363E+00,-786.32224E-03
