x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-48.45000E-03,+40.20100E-03,-1.73304021E+00,-20.10050E-03,+18.49246246E+00
-48.40000E-03,+40.20100E-03,-2.33605529E+00,-0.0E+00,+18.69346748E+00
-48.35000E-03,+40.20100E-03,-2.33605529E+00,-20.10050E-03,+18.69346748E+00
-48.30000E-03,+40.20100E-03,-2.53706032E+00,-20.10050E-03,+18.49246246E+00
-48.25000E-03,+60.30151E-03,-2.93907037E+00,-20.10050E-03,+18.49246246E+00
-48.20000E-03,+40.20100E-03,-3.14007540E+00,-0.0E+00,+18.69346748E+00
-48.15000E-03,+40.20100E-03,-3.34108043E+00,-20.10050E-03,+18.69346748E+00
-48.10000E-03,+40.20100E-03,-3.54208545E+00,-20.10050E-03,+18.69346748E+00
-48.05000E-03,+40.20100E-03,-3.94409551E+00,-20.10050E-03,+18.69346748E+00
-48.00000E-03,+40.20100E-03,-4.14510053E+00,-20.10050E-03,+18.69346748E+00
-47.95000E-03,+60.30151E-03,-4.54711059E+00,-20.10050E-03,+18.49246246E+00
-47.90000E-03,+40.20100E-03,-4.94912064E+00,-20.10050E-03,+18.49246246E+00
-47.85000E-03,+40.20100E-03,-5.15012567E+00,-20.10050E-03,+18.69346748E+00
-47.80000E-03,+20.10050E-03,-5.55213572E+00,-20.10050E-03,+18.69346748E+00
-47.75000E-03,+40.20100E-03,-5.95414577E+00,-20.10050E-03,+18.49246246E+00
-47.70000E-03,+60.30151E-03,-6.35615583E+00,-20.10050E-03,+18.69346748E+00
-47.65000E-03,+40.20100E-03,-6.55716085E+00,-20.10050E-03,+18.69346748E+00
-47.60000E-03,+40.20100E-03,-6.75816588E+00,-20.10050E-03,+18.49246246E+00
-47.55000E-03,+40.20100E-03,-7.16017593E+00,-20.10050E-03,+18.69346748E+00
-47.50000E-03,+40.20100E-03,-7.36118096E+00,-20.10050E-03,+18.69346748E+00
-47.45000E-03,+40.20100E-03,-7.76319101E+00,-20.10050E-03,+18.69346748E+00
-47.40000E-03,+40.20100E-03,-7.96419604E+00,-20.10050E-03,+18.69346748E+00
-47.35000E-03,+40.20100E-03,-8.36620609E+00,-20.10050E-03,+18.69346748E+00
-47.30000E-03,+40.20100E-03,-8.56721112E+00,-20.10050E-03,+18.69346748E+00
-47.25000E-03,+40.20100E-03,-8.96922117E+00,-20.10050E-03,+18.69346748E+00
-47.20000E-03,+40.20100E-03,-9.37123123E+00,-20.10050E-03,+18.49246246E+00
-47.15000E-03,+40.20100E-03,-9.57223625E+00,-20.10050E-03,+18.69346748E+00
-47.10000E-03,+40.20100E-03,-9.77324128E+00,-20.10050E-03,+18.69346748E+00
-47.05000E-03,+40.20100E-03,-9.97424631E+00,-20.10050E-03,+18.49246246E+00
-47.00000E-03,+40.20100E-03,-10.17525133E+00,-20.10050E-03,+18.69346748E+00
-46.95000E-03,+40.20100E-03,-10.37625636E+00,-0.0E+00,+18.49246246E+00
-46.90000E-03,+40.20100E-03,-10.57726139E+00,-20.10050E-03,+18.49246246E+00
-46.85000E-03,+40.20100E-03,-10.97927144E+00,-20.10050E-03,+18.69346748E+00
-46.80000E-03,+40.20100E-03,-10.97927144E+00,-20.10050E-03,+18.49246246E+00
-46.75000E-03,+40.20100E-03,-11.18027647E+00,-20.10050E-03,+18.49246246E+00
-46.70000E-03,+40.20100E-03,-11.58228652E+00,-20.10050E-03,+18.69346748E+00
-46.65000E-03,+40.20100E-03,-11.78329155E+00,-20.10050E-03,+18.49246246E+00
-46.60000E-03,+40.20100E-03,-12.18530160E+00,-20.10050E-03,+18.49246246E+00
-46.55000E-03,+40.20100E-03,-12.18530160E+00,-20.10050E-03,+18.69346748E+00
-46.50000E-03,+40.20100E-03,-12.58731166E+00,-20.10050E-03,+18.49246246E+00
-46.45000E-03,+40.20100E-03,-12.78831668E+00,-20.10050E-03,+18.69346748E+00
-46.40000E-03,+40.20100E-03,-13.19032674E+00,-20.10050E-03,+18.69346748E+00
