x-axis,1,2,3,F1
second,Volt,Volt,Volt,Volt
+645.5000E-06,-798.0200918E-03,-2.4120602757E+00,-96.4824110E-03,+1.6740361564E+00
+645.7500E-06,-798.0200918E-03,-2.4120602757E+00,-96.4824110E-03,+1.6088353507E+00
+646.0000E-06,-798.0200918E-03,-2.4120602757E+00,-96.4824110E-03,+1.6338750236E+00
+646.2500E-06,-798.0200918E-03,-2.4120602757E+00,-100.5025115E-03,+1.6288548820E+00
+646.5000E-06,-798.0200918E-03,-2.4120602757E+00,-100.5025115E-03,+1.6288548820E+00
+646.7500E-06,-777.9195895E-03,-2.3316582665E+00,-100.5025115E-03,+1.6338139884E+00
+647.0000E-06,-796.7638104E-03,-2.4070351501E+00,-100.7537678E-03,+1.6238347403E+00
+647.2500E-06,-777.9195895E-03,-2.3316582665E+00,-104.5226119E-03,+1.5622960441E+00
+647.5000E-06,-789.2261221E-03,-2.3316582665E+00,-104.5226119E-03,+1.5572911613E+00
+647.7500E-06,-777.9195895E-03,-2.2663316340E+00,-104.5226119E-03,+1.5685521476E+00
+648.0000E-06,-777.9195895E-03,-2.3316582665E+00,-104.5226119E-03,+1.5685521476E+00
+648.2500E-06,-764.1004942E-03,-2.3065326386E+00,-108.5427124E-03,+1.5685521476E+00
+648.5000E-06,-757.8190872E-03,-2.2512562573E+00,-110.8040189E-03,+1.5082494132E+00
+648.7500E-06,-757.8190872E-03,-2.2512562573E+00,-112.5628129E-03,+1.5082494132E+00
+649.0000E-06,-757.8190872E-03,-2.2462311317E+00,-112.5628129E-03,+1.5082494132E+00
+649.2500E-06,-757.8190872E-03,-2.1959798760E+00,-112.5628129E-03,+1.5082494132E+00
+649.5000E-06,-757.8190872E-03,-2.1708542481E+00,-112.5628129E-03,+1.4279271476E+00
+649.7500E-06,-757.8190872E-03,-2.1708542481E+00,-116.5829133E-03,+1.4279271476E+00
+650.0000E-06,-737.7185849E-03,-2.1708542481E+00,-116.5829133E-03,+1.4279271476E+00
+650.2500E-06,-737.7185849E-03,-2.1457286202E+00,-116.5829133E-03,+1.4479466788E+00
+650.5000E-06,-737.7185849E-03,-2.1708542481E+00,-118.3417073E-03,+1.4479466788E+00
+650.7500E-06,-737.7185849E-03,-2.1557788714E+00,-116.5829133E-03,+1.4328862541E+00
+651.0000E-06,-718.8743641E-03,-2.0954773645E+00,-120.6030138E-03,+1.3726445549E+00
+651.2500E-06,-737.7185849E-03,-2.0904522389E+00,-120.6030138E-03,+1.3676244132E+00
+651.5000E-06,-717.6180827E-03,-2.0100502297E+00,-122.8643203E-03,+1.3525029533E+00
+651.7500E-06,-717.6180827E-03,-2.0100502297E+00,-124.6231142E-03,+1.3725835197E+00
+652.0000E-06,-717.6180827E-03,-2.0100502297E+00,-124.6231142E-03,+1.3876439445E+00
+652.2500E-06,-703.7989873E-03,-1.9849246018E+00,-124.6231142E-03,+1.3073216788E+00
+652.5000E-06,-708.8241129E-03,-1.9296482205E+00,-126.8844208E-03,+1.2708989493E+00
+652.7500E-06,-697.5175804E-03,-1.9949748530E+00,-125.3768831E-03,+1.3273412101E+00
+653.0000E-06,-697.5175804E-03,-1.9296482205E+00,-128.6432147E-03,+1.3223210685E+00
+653.2500E-06,-697.5175804E-03,-1.9296482205E+00,-128.6432147E-03,+1.2470189445E+00
+653.5000E-06,-688.7236106E-03,-1.9296482205E+00,-128.6432147E-03,+1.2557774894E+00
+653.7500E-06,-677.4170781E-03,-1.8492462113E+00,-131.9095463E-03,+1.2670384757E+00
+654.0000E-06,-677.4170781E-03,-1.8492462113E+00,-132.6633152E-03,+1.1854649894E+00
+654.2500E-06,-677.4170781E-03,-1.8492462113E+00,-132.6633152E-03,+1.1867162101E+00
+654.5000E-06,-668.6231083E-03,-1.8492462113E+00,-132.6633152E-03,+1.1867162101E+00
+654.7500E-06,-657.3165758E-03,-1.8492462113E+00,-136.6834156E-03,+1.2067357413E+00
+655.0000E-06,-657.3165758E-03,-1.7738693278E+00,-136.6834156E-03,+1.2067357413E+00
+655.2500E-06,-657.3165758E-03,-1.7688442022E+00,-136.6834156E-03,+1.1929723136E+00
+655.5000E-06,-646.0100432E-03,-1.7688442022E+00,-136.6834156E-03,+1.1264134757E+00
+655.7500E-06,-637.2160735E-03,-1.7035175697E+00,-136.6834156E-03,+1.1464330070E+00
+656.0000E-06,-637.2160735E-03,-1.6884421930E+00,-140.7035161E-03,+1.1464330070E+00
+656.2500E-06,-623.3969781E-03,-1.6884421930E+00,-140.7035161E-03,+1.0661107413E+00
+656.5000E-06,-625.9095409E-03,-1.6080401838E+00,-138.9447221E-03,+1.0209294669E+00
