Distance_(pixels),Gray_Value
0,2.320
1,2.312
2,2.125
3,2.078
4,2.234
5,2.203
6,2.227
7,2.312
8,2.109
9,2.289
10,2.461
11,2.328
12,2.289
13,2.531
14,2.508
15,2.445
16,2.461
17,2.445
18,2.570
19,2.633
20,2.578
21,2.695
22,2.633
23,2.461
24,2.766
25,2.867
26,2.797
27,2.688
28,2.859
29,2.969
30,3.062
31,3.031
32,3.062
33,3.164
34,3.180
35,3.164
36,3.180
37,3.195
38,3.289
39,3.289
40,3.250
41,3.555
42,3.453
43,3.523
44,3.617
45,3.641
46,3.727
47,3.945
48,3.961
49,3.914
50,3.969
51,3.891
52,3.945
53,4.281
54,4.227
55,4.305
56,4.359
57,4.453
58,4.617
59,4.602
60,4.562
61,4.492
62,4.711
63,4.648
64,4.766
65,4.875
66,4.891
67,4.875
68,4.883
69,5.078
70,5.016
71,5.266
72,5.180
73,5.047
74,5.250
75,5.305
76,5.352
77,5.391
78,5.305
79,5.312
80,5.406
81,5.492
82,5.594
83,5.547
84,5.703
85,5.797
86,5.672
87,5.656
88,5.828
89,5.914
90,5.953
91,5.875
92,5.891
93,5.914
94,5.836
95,5.727
96,5.875
97,5.875
98,5.695
99,5.781
100,5.766
101,5.727
102,5.711
103,5.852
104,5.859
105,5.672
106,5.664
107,5.781
108,5.672
109,5.586
110,5.586
111,5.562
112,5.609
113,5.383
114,5.406
115,5.359
116,5.336
117,5.141
118,5.148
119,5.234
120,5.055
121,5.219
122,5.211
123,5.070
124,4.875
125,4.898
126,4.914
127,4.773
128,4.680
129,4.664
130,4.539
131,4.469
132,4.344
133,4.336
134,4.242
135,4.211
136,4.141
137,3.875
138,4.000
139,3.891
140,3.812
141,3.727
142,3.680
143,3.695
144,3.648
145,3.516
146,3.336
147,3.250
148,3.227
149,3.188
150,3.141
151,3.164
152,3.219
153,3.078
154,3.039
155,2.992
156,2.938
157,2.891
158,2.758
159,2.883
160,2.914
161,2.750
162,2.781
163,2.711
164,2.703
165,2.586
166,2.508
167,2.586
168,2.492
169,2.422
170,2.484
171,2.453
172,2.438
173,2.406
174,2.367
175,2.406
176,2.414
177,2.492
178,2.320
179,2.359
180,2.391
181,2.383
182,2.328
183,2.227
